id,wave,age,sex,ethnicity,education,region,urbanisation,religion,religion_open,A1,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,A6_11,A6_12,A6_13,A6_14,A6_15,A6_16,A6_17,A6_18,A6_66,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_66,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_9,B2_10,B2_12,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,C1_A1,C1_A2,C1_A3,C1_A4,C1_A5,C1_A6,C1_A7,C1_A9,C1_A10,C1_A12,C1_A14,C1_A15,C1_A16,C1_A17,C1_A18,C1_A19,C1_A20,C1_A21,C5_1,C5_2,C5_3,D2_1,D2_2,D2_3,D2_4,E1,E2,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E3_17,E3_18,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8,F2_9,F2b_1,F2b_2,F2b_3,G_eval_leaders_1,G_eval_leaders_2,G_eval_leaders_3,G_eval_leaders_4,G_eval_leaders_5,G_eval_leaders_6,G_eval_leaders_7,G_eval_leaders_8,G_eval_leaders_9,G_eval_leaders_10,G_eval_leaders_11,G_eval_leaders_12,G_eval_leaders_13,G_eval_leaders_14,G_eval_leaders_15,G_eval_leaders_16,G_eval_leaders_17,G_eval_leaders_18,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G2_9,G2_10,G2_11,G2_12,G2_13,G2_14,G2_15,G2_16,G2_17,G2_18,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G3_9,G3_10,G3_11,G3_12,G3_13,G3_14,G3_15,G3_16,G3_17,G3_18,G4_1,G4_2,G4_3,G4_4,G4_5,G4_6,G4_7,G4_8,G4_9,G4_10,G4_11,G4_12,G4_13,G4_14,G4_15,G4_16,G4_17,G4_18,H4_1,H4_2,H4_3,H4_4,H4_5,H4_6,H4_7,H4_8,H4_9,H4_10,H4b_1,H4b_2,H4b_3,H4b_4,H4b_5,H4b_6,H4b_7,H4b_8,H4b_9,H4b_10,H7_1,H7_2,H7_3,H7_4,H7_5,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I20_1,I20_2,I20_3,I20_4,I20_5,I20_6,I20_7,I21_1,I21_2,I21_3
649187,1,53,Male,Dutch,High,East  of the country,Medium urbanised,7,,Yes,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,1,1,2,1,1,3,1,2,3,1,1,1,1,1,2,1,Different topic,Education & Science,Asylumseekers & Migrants,No topic,No topic,Environment,No topic,No topic,No topic,No topic,No topic,No topic,Different topic,No topic,No topic,NA,NA,NA,Housing,Education & Science,Norms & Values,3,3,3,3,PvdA,4,7,5,10,5,5,2,10,2,5,6,7,5,5,5,5,8,6,6,2,3,1,3,2,2,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,1,1,3,4,4,4,3,4,1,3,3,3,NA,NA,5,NA,NA,4,3,3,3,4,4,4,3,4,1,3,3,3,NA,NA,4,NA,NA,4,3,2,3,3,3,3,3,3,1,3,3,3,NA,NA,4,NA,NA,4,3,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,7,NA,NA,7,7,NA,NA,NA,NA,NA,5,1,5,4,5,7,1,1,7,0,2,2,3,3,3,4,1,3,3,3,3,3
766635,1,70,Male,Dutch,High,North  of the country,Very strongly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,3,3,1,3,1,3,3,1,1,3,1,3,3,1,NA,NA,NA,NA,Education & Science,Asylumseekers & Migrants,NA,Housing,NA,Norms & Values,Health Care,NA,NA,Housing,NA,Security,Economy,NA,Culture of governance,Environment,EU & Euro,1,1,1,3,D66,2,6,4,9,8,1,6,10,3,4,10,8,6,4,8,9,8,4,10,4,4,2,4,2,4,4,3,2,4,2,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,4,3,4,3,4,3,1,2,4,3,NA,4,5,2,NA,4,NA,1,3,2,3,3,4,3,1,3,4,3,NA,4,4,1,NA,4,NA,1,4,3,4,4,2,3,1,3,3,3,NA,4,4,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,2,2,3,2,0,6,2,2,0,4,2,3,3,3,2,1,3,3,3,4,4
286470,1,55,Male,Dutch,High,"Three big cities (Amsterdam, Rotterdam, The Hague)",Very strongly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,3,1,3,2,3,3,2,2,2,3,3,1,2,Asylumseekers & Migrants,Environment,Asylumseekers & Migrants,No topic,poverty and equity,Employment & Social Safety,Asylumseekers & Migrants,Norms & Values,No topic,EU & Euro,No topic,No topic,No topic,No topic,No topic,NA,NA,NA,Environment,Employment & Social Safety,EU & Euro,3,2,4,1,D66,4,8,4,9,5,2,4,10,3,5,4,6,3,4,7,11,7,3,11,5,4,4,4,4,5,5,3,4,5,1,2,2,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,4,1,NA,4,3,4,3,4,1,3,5,3,NA,5,5,NA,NA,4,NA,3,NA,4,2,3,2,4,1,3,3,4,NA,5,5,NA,NA,3,NA,2,NA,4,3,3,4,4,1,3,4,2,NA,5,5,NA,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,7,NA,NA,NA,NA,NA,NA,5,1,3,4,3,7,5,4,7,3,7,7,4,4,4,4,2,4,4,2,3,3
291484,1,66,Male,Dutch,High,East  of the country,Strongly urbanised,7,,Yes,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,poverty and equity,EU & Euro,Asylumseekers & Migrants,Culture of governance,poverty and equity,Employment & Social Safety,No topic,Norms & Values,Asylumseekers & Migrants,EU & Euro,No topic,No topic,Different topic,Norms & Values,No topic,NA,NA,NA,Education & Science,Environment,Housing,3,2,3,4,PvdA,2,7,4,10,7,1,2,10,1,4,9,8,4,5,4,7,8,1,9,4,4,3,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,4,4,2,4,4,5,1,5,4,2,NA,4,4,NA,2,2,NA,2,3,4,1,3,4,5,1,4,4,2,NA,4,4,NA,3,2,NA,1,3,4,2,3,4,4,1,4,4,2,NA,4,4,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,5,1,4,5,2,7,7,7,7,5,3,0,4,4,4,3,1,3,3,2,1,4
405273,1,74,Male,Dutch,Medium,West of the country,Very strongly urbanised,7,,Yes,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,1,Culture of governance,Environment,Asylumseekers & Migrants,Different topic,Employment & Social Safety,poverty and equity,Different topic,Different topic,No topic,No topic,No topic,Different topic,Environment,No topic,No topic,NA,NA,NA,Different topic,Environment,Culture of governance,3,3,3,2,PvdA,3,8,5,11,6,3,4,11,3,5,11,8,11,5,11,11,11,11,11,4,4,3,3,3,4,4,2,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,3,4,2,4,4,4,2,3,4,4,3,3,4,3,NA,3,NA,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,7,7,3,0,0,3,0,4,4,4,4,1,4,1,4,4,3
854329,1,59,Male,Western Migrant,High,"Three big cities (Amsterdam, Rotterdam, The Hague)",Very strongly urbanised,7,,Yes,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,1,1,1,1,1,3,1,3,1,1,1,3,1,3,1,1,Economy,Education & Science,Asylumseekers & Migrants,Norms & Values,poverty and equity,poverty and equity,Norms & Values,Norms & Values,Asylumseekers & Migrants,EU & Euro,No topic,Employment & Social Safety,Different topic,No topic,Economy,NA,NA,NA,Economy,Housing,Health Care,1,1,1,3,Other,6,8,4,6,6,2,2,8,6,7,11,6,11,6,11,6,8,11,8,4,2,2,3,2,2,4,3,2,4,2,2,1,1,1,4,1,1,1,4,4,1,4,4,1,4,4,1,4,1,4,3,4,NA,2,1,3,NA,NA,3,NA,NA,3,NA,NA,3,NA,3,4,2,3,NA,1,2,2,NA,NA,2,NA,NA,3,NA,NA,3,NA,3,3,2,4,NA,1,1,2,NA,NA,2,NA,NA,3,NA,NA,2,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,0,5,0,1,4,3,3,3,3,2,3,3,4,3,3
852966,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390691,1,78,Female,Dutch,Low,North  of the country,Lowly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3,3,2,2,2,2,3,2,3,3,3,2,3,3,3,2,2,NA,Environment,No topic,NA,NA,NA,NA,Environment,NA,poverty and equity,Different topic,Asylumseekers & Migrants,NA,poverty and equity,No topic,Economy,NA,NA,Housing,poverty and equity,Health Care,3,3,3,3,D66,5,9,7,5,6,0,1,8,1,4,5,6,7,1,5,6,2,5,5,4,4,2,3,3,2,4,2,2,4,2,4,1,1,1,1,1,1,1,1,4,1,4,1,1,4,4,1,4,1,4,4,3,4,4,4,1,3,NA,3,NA,4,4,NA,NA,3,NA,2,4,4,3,4,4,4,2,3,NA,3,NA,4,4,NA,NA,3,NA,2,4,4,4,4,4,4,3,3,NA,3,NA,3,4,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,2,4,3,3,6,4,6,6,1,2,0,4,4,4,4,1,3,1,3,4,3
411284,1,71,Male,Dutch,Medium,South  of the country,Not urbanised,1,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,3,3,3,1,1,3,1,3,3,3,3,3,1,3,3,1,Employment & Social Safety,Environment,Asylumseekers & Migrants,No topic,poverty and equity,poverty and equity,No topic,Norms & Values,No topic,EU & Euro,No topic,No topic,Environment,No topic,No topic,NA,NA,NA,Environment,Security,Asylumseekers & Migrants,3,1,3,3,PvdD,5,9,4,8,5,1,3,10,2,7,8,8,5,3,11,8,7,8,11,2,3,3,3,3,4,4,2,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,3,3,4,3,4,3,2,4,4,3,3,4,4,NA,3,3,NA,3,4,4,4,3,4,3,2,4,4,3,3,4,4,NA,3,2,NA,3,3,3,4,3,4,3,1,4,3,3,3,4,5,NA,3,3,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,7,NA,NA,NA,NA,NA,3,3,3,2,2,5,6,6,7,0,3,0,3,3,3,3,1,3,2,4,2,3
1104675,1,70,Female,Dutch,High,West of the country,Lowly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,2,1,2,3,1,1,3,3,3,3,2,2,3,3,3,3,1,Security,Environment,Asylumseekers & Migrants,Housing,Health Care,Environment,Asylumseekers & Migrants,Development Aid,EU & Euro,Asylumseekers & Migrants,Security,Health Care,Mobility & Infrastructure,NA,NA,NA,NA,NA,Environment,Health Care,Education & Science,3,2,3,4,D66,3,8,5,9,7,3,3,9,3,5,4,5,9,5,11,4,6,11,11,4,2,2,2,1,2,3,1,2,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,1,3,4,3,3,4,3,1,4,4,3,NA,NA,5,NA,NA,4,NA,3,2,4,3,3,5,3,1,4,4,3,NA,NA,5,NA,NA,4,NA,1,3,3,4,3,5,5,2,4,4,3,NA,NA,5,NA,NA,4,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,9,NA,NA,NA,NA,NA,5,1,5,5,5,1,7,7,7,0,3,0,2,4,4,4,1,3,1,2,3,3
